Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Test 40, loss: 0.516361, test acc: 0.853586, test avg acc: 0.746340, test iou: 0.625388
Train 41, loss: 0.179389, train acc: 0.934976, train avg acc: 0.891405, train iou: 0.813585
Test 41, loss: 0.692259, test acc: 0.828444, test avg acc: 0.657083, test iou: 0.561590
Train 42, loss: 0.173471, train acc: 0.937212, train avg acc: 0.898557, train iou: 0.822901
Test 42, loss: 0.522701, test acc: 0.853826, test avg acc: 0.750391, test iou: 0.628401
Train 43, loss: 0.166846, train acc: 0.939501, train avg acc: 0.903161, train iou: 0.829549
Test 43, loss: 0.639900, test acc: 0.823030, test avg acc: 0.706604, test iou: 0.589525
Train 44, loss: 0.169493, train acc: 0.938904, train avg acc: 0.901299, train iou: 0.825501
Test 44, loss: 0.658405, test acc: 0.806976, test avg acc: 0.735298, test iou: 0.577379
Train 45, loss: 0.185997, train acc: 0.932863, train avg acc: 0.889744, train iou: 0.811438
Test 45, loss: 0.553904, test acc: 0.844782, test avg acc: 0.685386, test iou: 0.598988
Train 46, loss: 0.164906, train acc: 0.940418, train avg acc: 0.903540, train iou: 0.830768
Test 46, loss: 0.710010, test acc: 0.782950, test avg acc: 0.717067, test iou: 0.537529
Train 47, loss: 0.154006, train acc: 0.944164, train avg acc: 0.909941, train iou: 0.840796
Test 47, loss: 0.638045, test acc: 0.813952, test avg acc: 0.805984, test iou: 0.591331
Train 48, loss: 0.157332, train acc: 0.943391, train avg acc: 0.909884, train iou: 0.839794
Test 48, loss: 0.624690, test acc: 0.837521, test avg acc: 0.673667, test iou: 0.571929
Train 49, loss: 0.152861, train acc: 0.944554, train avg acc: 0.911739, train iou: 0.842445
Test 49, loss: 0.651782, test acc: 0.841043, test avg acc: 0.726610, test iou: 0.608749
Train 50, loss: 0.141057, train acc: 0.949047, train avg acc: 0.917757, train iou: 0.853030
Test 50, loss: 0.557769, test acc: 0.853195, test avg acc: 0.742483, test iou: 0.617831
Train 51, loss: 0.143154, train acc: 0.948019, train avg acc: 0.917905, train iou: 0.852285
Test 51, loss: 0.714333, test acc: 0.822648, test avg acc: 0.688831, test iou: 0.572633
Train 52, loss: 0.141578, train acc: 0.948478, train avg acc: 0.917821, train iou: 0.853230
Test 52, loss: 0.525704, test acc: 0.847799, test avg acc: 0.743807, test iou: 0.604160
Train 53, loss: 0.139773, train acc: 0.949409, train avg acc: 0.918886, train iou: 0.854504
Test 53, loss: 0.476341, test acc: 0.864981, test avg acc: 0.784238, test iou: 0.659445
Train 54, loss: 0.132727, train acc: 0.951902, train avg acc: 0.925930, train iou: 0.864209
Test 54, loss: 0.571660, test acc: 0.844283, test avg acc: 0.717175, test iou: 0.609408
Train 55, loss: 0.138965, train acc: 0.949823, train avg acc: 0.922328, train iou: 0.859549
Test 55, loss: 0.451041, test acc: 0.869043, test avg acc: 0.773073, test iou: 0.663531
Train 56, loss: 0.129301, train acc: 0.953023, train avg acc: 0.927034, train iou: 0.866562
Test 56, loss: 0.543339, test acc: 0.858296, test avg acc: 0.682887, test iou: 0.611299
Train 57, loss: 0.128925, train acc: 0.953077, train avg acc: 0.925897, train iou: 0.865585
Test 57, loss: 1.007577, test acc: 0.801338, test avg acc: 0.579536, test iou: 0.509757
Train 58, loss: 0.126935, train acc: 0.953639, train avg acc: 0.927394, train iou: 0.867236
Test 58, loss: 0.615838, test acc: 0.851174, test avg acc: 0.713097, test iou: 0.625933
Train 59, loss: 0.121899, train acc: 0.955794, train avg acc: 0.932399, train iou: 0.875847
Test 59, loss: 0.534069, test acc: 0.864547, test avg acc: 0.740364, test iou: 0.640097
Train 60, loss: 0.118155, train acc: 0.957132, train avg acc: 0.933967, train iou: 0.878383
Test 60, loss: 0.555142, test acc: 0.863473, test avg acc: 0.734338, test iou: 0.647257
Train 61, loss: 0.116219, train acc: 0.957713, train avg acc: 0.933860, train iou: 0.878961
Test 61, loss: 0.454132, test acc: 0.875664, test avg acc: 0.755704, test iou: 0.664182
Train 62, loss: 0.115604, train acc: 0.958049, train avg acc: 0.935327, train iou: 0.880367
Test 62, loss: 0.591754, test acc: 0.857155, test avg acc: 0.702668, test iou: 0.626199
Train 63, loss: 0.117479, train acc: 0.957204, train avg acc: 0.934058, train iou: 0.878184
Test 63, loss: 0.478296, test acc: 0.870207, test avg acc: 0.761276, test iou: 0.657725
Train 64, loss: 0.116706, train acc: 0.957542, train avg acc: 0.934138, train iou: 0.879310
Test 64, loss: 0.528643, test acc: 0.865435, test avg acc: 0.734181, test iou: 0.642664
Train 65, loss: 0.109138, train acc: 0.960284, train avg acc: 0.939055, train iou: 0.886490
Test 65, loss: 0.616828, test acc: 0.858355, test avg acc: 0.724807, test iou: 0.631811
Train 66, loss: 0.105611, train acc: 0.961569, train avg acc: 0.941372, train iou: 0.890914
Test 66, loss: 0.571745, test acc: 0.854696, test avg acc: 0.773086, test iou: 0.620591
Train 67, loss: 0.104086, train acc: 0.962012, train avg acc: 0.941881, train iou: 0.891506
Test 67, loss: 0.529793, test acc: 0.871011, test avg acc: 0.739519, test iou: 0.651056
Train 68, loss: 0.102457, train acc: 0.962657, train avg acc: 0.943209, train iou: 0.894141
Test 68, loss: 0.517417, test acc: 0.866541, test avg acc: 0.754841, test iou: 0.642255
Train 69, loss: 0.100650, train acc: 0.963360, train avg acc: 0.944577, train iou: 0.896253
Test 69, loss: 0.494919, test acc: 0.873769, test avg acc: 0.759503, test iou: 0.658921
Train 70, loss: 0.098628, train acc: 0.963949, train avg acc: 0.945367, train iou: 0.898284
Test 70, loss: 0.547114, test acc: 0.873122, test avg acc: 0.744035, test iou: 0.652592
Train 71, loss: 0.098777, train acc: 0.964082, train avg acc: 0.945656, train iou: 0.898092
Test 71, loss: 0.491798, test acc: 0.879913, test avg acc: 0.760516, test iou: 0.665325
Train 72, loss: 0.096899, train acc: 0.964547, train avg acc: 0.946398, train iou: 0.898781
Test 72, loss: 0.545724, test acc: 0.871880, test avg acc: 0.723949, test iou: 0.645016
Train 73, loss: 0.094619, train acc: 0.965451, train avg acc: 0.947749, train iou: 0.901821
Test 73, loss: 0.606486, test acc: 0.859368, test avg acc: 0.719061, test iou: 0.618750
Train 74, loss: 0.093108, train acc: 0.966041, train avg acc: 0.948932, train iou: 0.904246
Test 74, loss: 0.512780, test acc: 0.878557, test avg acc: 0.767375, test iou: 0.668696
Train 75, loss: 0.090551, train acc: 0.966913, train avg acc: 0.950338, train iou: 0.905786
Test 75, loss: 0.500501, test acc: 0.878332, test avg acc: 0.759905, test iou: 0.663925
Train 76, loss: 0.089825, train acc: 0.967189, train avg acc: 0.950591, train iou: 0.906582
Test 76, loss: 0.490132, test acc: 0.880449, test avg acc: 0.759994, test iou: 0.666655
Train 77, loss: 0.089177, train acc: 0.967393, train avg acc: 0.950977, train iou: 0.907558
Test 77, loss: 0.492551, test acc: 0.880060, test avg acc: 0.754965, test iou: 0.667483
Train 78, loss: 0.087508, train acc: 0.968010, train avg acc: 0.952080, train iou: 0.909556
Test 78, loss: 0.498537, test acc: 0.878823, test avg acc: 0.758950, test iou: 0.666320
Train 79, loss: 0.086430, train acc: 0.968464, train avg acc: 0.953560, train iou: 0.911452
Test 79, loss: 0.555409, test acc: 0.871365, test avg acc: 0.735775, test iou: 0.647129
Train 80, loss: 0.086221, train acc: 0.968456, train avg acc: 0.953295, train iou: 0.911466
Test 80, loss: 0.511930, test acc: 0.873741, test avg acc: 0.768713, test iou: 0.662797
Train 81, loss: 0.084515, train acc: 0.969121, train avg acc: 0.954099, train iou: 0.912414
Test 81, loss: 0.507668, test acc: 0.877779, test avg acc: 0.759462, test iou: 0.664511
Train 82, loss: 0.083758, train acc: 0.969409, train avg acc: 0.954638, train iou: 0.913912
Test 82, loss: 0.511882, test acc: 0.877981, test avg acc: 0.761898, test iou: 0.665479
Train 83, loss: 0.082278, train acc: 0.969961, train avg acc: 0.954944, train iou: 0.914929
Test 83, loss: 0.526774, test acc: 0.875604, test avg acc: 0.754391, test iou: 0.663091
Train 84, loss: 0.082285, train acc: 0.969960, train avg acc: 0.955522, train iou: 0.915116
Test 84, loss: 0.493950, test acc: 0.881988, test avg acc: 0.760246, test iou: 0.671168
Train 85, loss: 0.081403, train acc: 0.970320, train avg acc: 0.955304, train iou: 0.915584
Test 85, loss: 0.482167, test acc: 0.879852, test avg acc: 0.767153, test iou: 0.670994
Train 86, loss: 0.080560, train acc: 0.970579, train avg acc: 0.956201, train iou: 0.916708
Test 86, loss: 0.496276, test acc: 0.880927, test avg acc: 0.767365, test iou: 0.672297
Train 87, loss: 0.080196, train acc: 0.970732, train avg acc: 0.956300, train iou: 0.916937
Test 87, loss: 0.508076, test acc: 0.881311, test avg acc: 0.760051, test iou: 0.669249
Train 88, loss: 0.079626, train acc: 0.970900, train avg acc: 0.956600, train iou: 0.918339
Test 88, loss: 0.495741, test acc: 0.882868, test avg acc: 0.766526, test iou: 0.672973
Train 89, loss: 0.079605, train acc: 0.970989, train avg acc: 0.957415, train iou: 0.918318
Test 89, loss: 0.504308, test acc: 0.881995, test avg acc: 0.754790, test iou: 0.669354
Train 90, loss: 0.078674, train acc: 0.971299, train avg acc: 0.957436, train iou: 0.919689
Test 90, loss: 0.518805, test acc: 0.879533, test avg acc: 0.752416, test iou: 0.663927
